7.322426773,-9.09149074,4.434422946
4.468376379,-3.423931035,5.789985582
4.931895698,5.085039861,9.925350128
5.779263577,3.676983963,5.453261649
1.798282835,7.400238091,6.368287215
-4.171563529,-9.734542522,0.376832676
5.653729303,-1.888530345,7.426150676
12.55167979,2.16660216,8.370259225
12.46622591,-0.870989825,5.672968922
6.340458099,0.47822869,5.274058997
11.27054975,-4.612602027,5.570510991
12.58638754,0.295711848,9.777616083
5.405995689,-2.310936102,0.91512464
-5.023220813,-9.216564555,0.88359592
-8.846725023,-4.416310892,7.930632981
4.036181552,6.040570124,9.45390865
4.482576214,-10.48140067,7.915848438
-3.838920127,-9.908239252,5.079163173
-0.530634172,-10.93421444,7.481856507
4.900060314,-2.982577605,3.864340661
5.892185293,-9.91292042,2.271412322
-1.221344331,7.913416323,1.034057052
-6.982255352,5.313721406,5.098360584
6.345235766,1.436694759,6.430303939
11.85623374,5.299461934,0.845660777
6.338044191,1.529450811,8.394185097
3.150714166,6.712458317,0.47042761
3.942675588,-3.848836166,9.778962699
-9.226937006,1.160635728,5.417008959
11.52986362,-4.069758725,3.942643988
-1.000643312,-10.85766157,8.211729806
1.207406291,-11.03868429,4.796342051
11.08931138,-4.95536817,9.212026419
2.807021635,-10.89190889,8.663582427
11.62219386,-3.858171136,9.831972842
10.1658889,-6.386377339,8.698081849
3.426987311,6.525206372,7.88364005
4.891426459,-2.992411155,4.489692985
3.749966257,-10.69442295,2.839044093
-8.691403936,-4.801494184,6.068187053
-7.454880784,4.778279419,2.07869824
-9.399186609,0.217028833,5.962318445
3.374953239,6.561892185,8.329176167
1.524505086,7.500077096,5.919894816
-9.093623069,1.661140596,4.147509171
-2.637777652,-10.41889104,7.318966251
6.661675767,-9.504833895,3.372277499
1.903636506,-11.00342829,4.558019023
-7.911609207,4.163655062,0.300477301
5.747716961,3.746265641,4.006016147
6.232926027,-9.741387203,2.123296596
7.377594714,-9.054116196,6.255360374
4.478699815,5.612523561,4.617952819
5.842621491,3.531185617,4.707448171
6.338549817,1.523454968,5.729946494
9.269700863,-7.445596217,8.210908161
2.255518694,-4.64578609,0.975938458
-0.088732022,7.864762849,8.355481224
-6.166797317,-8.321989486,1.272052412
11.11270394,-4.912586135,7.434082078
-9.280095584,0.921834269,3.413139393
-1.085301114,-10.84161488,3.955684521
-7.904836264,-6.280629384,7.512334168
12.09303201,-2.548558839,5.673797906
-9.227195823,-3.166296646,0.623884639
-8.807450441,2.48094349,6.096492489
12.59653697,0.510546163,6.81815244
4.93072563,5.086545666,4.000231382
6.167019882,2.557531481,4.034030221
12.40931247,-1.215678169,9.544551435
-6.172124487,-8.317180437,3.781531358
-8.669297747,-4.852752645,8.830007287
-8.542132481,3.076113206,9.159479321
5.998332261,-1.110094724,7.388198799
0.900617596,7.68472364,8.488292603
-8.390747583,3.371379223,5.868949483
5.06095232,-2.790499951,0.653971655
-9.319528156,0.722038336,2.5304109
6.27144703,2.056697145,0.299432341
5.010125136,-2.853056929,7.356800765
-9.374378058,0.394801377,6.361572971
1.651306712,7.455319494,7.126995553
5.554963627,4.130974437,3.64554062
-5.378590963,-8.965621086,4.628185206
2.010522421,-4.704654695,6.755585414
-9.145598919,-3.491726132,7.000625301
-7.302121385,4.961120438,6.313376979
4.33933274,-10.52728663,0.65807913
-9.018006941,-3.925475069,1.941468108
6.228171785,-0.298373697,7.694741173
2.407378705,7.133216748,4.800610826
12.56499937,2.01301957,7.2745131
-8.439207521,-5.344788538,2.22815444
-7.213216229,-7.227549935,4.863281071
-4.713663822,-9.417765116,2.265376551
5.327257773,-2.429877431,9.106638916
6.1997931,-0.426740374,6.781544033
-3.39227912,-10.11860275,9.969519621
-5.84149796,6.312525934,5.049655458
10.15589427,-6.399670064,3.367514487
4.581059555,5.502278579,9.098960874
4.42086863,5.67279044,0.261849428
-3.342441767,-10.14052151,6.938243913
5.627440534,-1.93742566,1.551859835
-4.26021532,-9.685673126,6.192410777
1.656015246,-4.767283566,9.316291201
-6.895619825,-7.595089206,1.522418384
2.797462198,-4.468291523,2.796310801
5.483407158,-2.187434921,8.327259002
11.5473157,-4.030591216,3.049856706
-5.181230928,6.749279336,7.066311175
3.619544724,-4.061511561,1.120159088
6.358794274,0.820565729,4.475206577
-3.890047891,-9.882513528,7.64114043
0.783236111,-11.03865755,4.996911869
4.935290558,-2.941970754,3.721484274
-7.754078683,-6.507641474,2.978470542
-0.572460754,-10.92825509,1.322946807
6.338709564,1.521546631,8.239500416
10.87002816,-5.337810827,3.861519413
0.661522653,7.740510152,1.04957202
12.14050592,-2.384398494,9.660290324
3.363872727,-4.207412099,4.189049052
12.19440624,4.20254345,1.597678571
8.470149204,-8.210642769,5.141283905
-8.988862123,-4.015207127,1.013815971
6.308492909,1.806732508,3.407718558
